TOT_POP,COUNTY_NAME_n,Active General Surgeons per 100000 Population 2018 (AAMC),ICU Beds_x,STATE_NAME_n,anycondition_number,Total Hospitals (2019)
6997.0,736.0,10.5,0.0,48.0,3430.0,0.216981425
68461.0,398.0,7.1,14.0,24.0,27496.0,2.269402618
44582.0,1246.0,7.1,20.0,33.0,18538.0,0.480871218
70422.0,35.0,7.0,0.0,10.0,20697.0,0.97069388
19383.0,285.0,9.6,6.0,20.0,7172.0,0.160383126
5821.0,1329.0,6.2,0.0,36.0,2365.0,0.184532189
47823.0,1164.0,10.2,12.0,32.0,15781.0,0.406229306
35438.0,1670.0,5.8,4.0,44.0,10732.0,0.605374386
79344.0,553.0,6.5,14.0,14.0,26074.0,1.56509249
73055.0,1315.0,7.9,27.0,49.0,22246.0,1.671316995
35285.0,43.0,7.1,5.0,33.0,12800.0,0.38059174
45260.0,682.0,6.9,0.0,47.0,13405.0,0.552567144
48021.0,244.0,7.8,4.0,5.0,17140.0,0.750385563
65936.0,439.0,6.5,30.0,14.0,24215.0,1.300614267
9809.0,493.0,7.3,0.0,46.0,4104.0,0.110553983
39921.0,407.0,7.0,0.0,10.0,13392.0,0.550269381
7114.0,348.0,6.2,0.0,43.0,2867.0,0.129630064
29519.0,488.0,7.4,0.0,23.0,10317.0,0.668115025
81244.0,1120.0,7.3,0.0,46.0,26907.0,0.915674153
1187.0,617.0,6.8,0.0,27.0,427.0,0.057219111
33044.0,1493.0,8.1,3.0,42.0,13915.0,0.561307886
41239.0,143.0,7.0,5.0,3.0,17794.0,1.204128309
37300.0,825.0,10.2,0.0,32.0,13670.0,0.316842379
4989.0,897.0,7.4,0.0,23.0,1868.0,0.11291798
19120.0,242.0,7.0,4.0,10.0,7607.0,0.263549274
15434.0,869.0,7.9,0.0,49.0,6003.0,0.353091595
28294.0,656.0,9.2,3.0,41.0,7945.0,1.828036748
21579.0,51.0,8.1,0.0,42.0,9405.0,0.366555589
14910.0,1188.0,7.3,10.0,46.0,5826.0,0.16804566
19964.0,1661.0,5.8,4.0,44.0,5441.0,0.341037707
29970.0,163.0,7.0,0.0,10.0,10650.0,0.413105217
2920.0,1036.0,9.8,0.0,26.0,847.0,0.153929427
2836.0,1526.0,6.2,0.0,43.0,1139.0,0.051677096
29189.0,1717.0,7.3,0.0,46.0,10236.0,0.328979529
12188.0,44.0,7.0,0.0,25.0,4492.0,0.242707525
12164.0,265.0,7.8,0.0,5.0,3557.0,0.190077049
10913.0,524.0,9.8,0.0,26.0,3441.0,0.575284876
8924.0,50.0,7.0,0.0,3.0,3677.0,0.260569874
10721.0,377.0,7.0,0.0,10.0,4080.0,0.147777812
16272.0,1012.0,7.0,7.0,25.0,6963.0,0.324034857
57900.0,1140.0,7.7,12.0,31.0,20070.0,1.132895046
26575.0,369.0,7.0,10.0,10.0,8970.0,0.36630868
22883.0,1017.0,7.0,0.0,25.0,8830.0,0.455683975
49791.0,1777.0,6.9,6.0,47.0,12751.0,0.607884902
35680.0,437.0,7.0,22.0,10.0,13358.0,0.491811616
8189.0,1023.0,7.0,0.0,25.0,3388.0,0.163072852
4118.0,161.0,7.7,0.0,31.0,1476.0,0.08057447
64569.0,1483.0,8.1,20.0,42.0,26600.0,1.096813003
30816.0,381.0,7.0,0.0,10.0,11421.0,0.424766445
5802.0,665.0,6.8,0.0,16.0,2155.0,0.276996948
40855.0,530.0,7.3,12.0,46.0,18095.0,0.460463142
22663.0,624.0,8.3,0.0,17.0,9420.0,0.53254273
15596.0,117.0,7.0,0.0,13.0,5795.0,0.228901475
47014.0,663.0,6.2,0.0,36.0,18589.0,1.490396211
15249.0,936.0,7.4,0.0,23.0,4900.0,0.345136557
73139.0,357.0,7.1,4.0,33.0,26107.0,0.788893276
4599.0,527.0,7.0,0.0,25.0,1697.0,0.091582861
6422.0,87.0,9.6,0.0,1.0,2302.0,0.182879103
2294.0,222.0,10.5,0.0,34.0,844.0,0.117706496
15146.0,511.0,7.0,0.0,25.0,5454.0,0.301612091
4377.0,978.0,7.1,0.0,24.0,2102.0,0.145092465
11169.0,601.0,6.9,0.0,15.0,3921.0,0.417579674
48305.0,35.0,6.9,7.0,9.0,20546.0,0.492136957
24841.0,1186.0,10.2,0.0,32.0,8206.0,0.211010229
16141.0,597.0,6.9,0.0,15.0,5398.0,0.603469739
4426.0,1774.0,6.9,0.0,47.0,1626.0,0.054035841
14422.0,44.0,6.2,0.0,43.0,5423.0,0.262795162
2210.0,1296.0,7.3,0.0,46.0,951.0,0.024908176
10003.0,50.0,6.9,8.0,15.0,3634.0,0.373985986
48892.0,877.0,7.9,9.0,22.0,18911.0,0.70433252
87138.0,452.0,5.8,20.0,12.0,24133.0,2.235316451
2429.0,1465.0,9.2,0.0,41.0,751.0,0.156934377
4240.0,1143.0,7.7,0.0,31.0,1587.0,0.082961572
28020.0,115.0,8.1,6.0,42.0,11719.0,0.475966801
9398.0,394.0,7.0,0.0,10.0,3865.0,0.129541636
26746.0,1136.0,7.7,4.0,31.0,11097.0,0.523323159
18188.0,130.0,7.0,0.0,3.0,6338.0,0.531067331
19964.0,652.0,6.8,5.0,16.0,7390.0,0.953113939
9267.0,1517.0,6.2,3.0,43.0,3547.0,0.168861653
14772.0,1737.0,7.3,0.0,46.0,3308.0,0.166490308
39330.0,554.0,6.5,0.0,14.0,11635.0,0.775800157
15270.0,1794.0,10.5,5.0,48.0,7022.0,0.473532422
18717.0,160.0,7.1,0.0,24.0,7420.0,0.620446806
79115.0,1834.0,10.6,14.0,50.0,24897.0,3.971244701
1399.0,35.0,7.8,0.0,5.0,454.0,0.021861048
7885.0,1839.0,10.6,0.0,50.0,2285.0,0.39579428
14307.0,722.0,8.3,0.0,17.0,6495.0,0.336190656
16736.0,263.0,9.8,4.0,26.0,4616.0,0.882247565
35845.0,379.0,8.3,16.0,17.0,16491.0,0.842297761
16351.0,546.0,6.5,0.0,14.0,5944.0,0.322530088
8232.0,1621.0,6.2,0.0,43.0,3730.0,0.150002064
96036.0,941.0,7.4,0.0,23.0,27322.0,2.173620196
41260.0,1641.0,6.2,0.0,43.0,15425.0,0.751832504
25315.0,976.0,7.1,11.0,24.0,11425.0,0.839162841
17471.0,187.0,7.2,0.0,4.0,5686.0,0.158558077
1522.0,1573.0,6.2,0.0,43.0,563.0,0.027733618
40589.0,1403.0,8.7,4.0,38.0,15596.0,0.630684248
25629.0,603.0,7.4,0.0,23.0,8138.0,0.58007114
28715.0,656.0,8.3,0.0,17.0,11055.0,0.674754644
26575.0,1708.0,7.3,0.0,46.0,8114.0,0.299518003
31363.0,29.0,7.6,7.0,0.0,12243.0,0.648065998
96807.0,214.0,7.2,0.0,4.0,29364.0,0.878572022
20544.0,1432.0,7.0,0.0,40.0,7843.0,0.278816009
44413.0,44.0,8.3,13.0,35.0,16500.0,0.737085825
56811.0,36.0,10.5,5.0,48.0,20549.0,1.761745279
51859.0,1694.0,7.3,6.0,46.0,17387.0,0.584485573
76482.0,624.0,8.1,25.0,42.0,27933.0,1.299175334
1445.0,1665.0,5.8,0.0,44.0,496.0,0.024684406
3424.0,677.0,9.8,0.0,26.0,1103.0,0.180498068
18998.0,401.0,7.0,0.0,10.0,6468.0,0.261867631
40571.0,429.0,7.0,20.0,10.0,14902.0,0.559228954
28523.0,563.0,6.5,0.0,14.0,9991.0,0.562627711
37349.0,1126.0,7.3,7.0,46.0,13349.0,0.42094818
10340.0,399.0,7.0,0.0,10.0,3626.0,0.142526124
2995.0,382.0,7.0,0.0,10.0,1164.0,0.041282954
34117.0,138.0,8.1,7.0,42.0,12763.0,0.579534594
2204.0,1539.0,6.2,0.0,43.0,972.0,0.040160903
4853.0,1059.0,9.8,0.0,26.0,1583.0,0.255828599
442.0,1579.0,6.2,0.0,43.0,176.0,0.008054047
18883.0,1436.0,9.2,6.0,41.0,5198.0,1.220004874
8320.0,837.0,7.9,0.0,22.0,3476.0,0.119856962
20015.0,9.0,6.8,0.0,16.0,7653.0,0.955548763
15902.0,35.0,9.1,0.0,18.0,6610.0,0.539169069
16390.0,666.0,6.2,0.0,36.0,6420.0,0.519581271
102985.0,1015.0,7.0,0.0,25.0,28000.0,2.050806894
36925.0,954.0,7.1,24.0,24.0,14890.0,1.224020854
51909.0,15.0,7.6,7.0,0.0,20571.0,1.072616074
49615.0,1068.0,6.8,34.0,27.0,15585.0,2.391681716
33452.0,547.0,6.5,5.0,14.0,11722.0,0.659854229
11640.0,481.0,5.8,0.0,12.0,3035.0,0.29859629
54973.0,703.0,7.3,0.0,46.0,21823.0,0.619582433
21531.0,403.0,7.0,0.0,10.0,8384.0,0.296782396
46222.0,1396.0,8.7,10.0,38.0,16831.0,0.718211518
24415.0,1641.0,10.5,4.0,48.0,10065.0,0.757124694
66523.0,672.0,7.4,4.0,23.0,18136.0,1.505640971
3307.0,35.0,9.2,0.0,41.0,1107.0,0.213660759
6021.0,130.0,7.4,0.0,23.0,2043.0,0.136275638
2611.0,169.0,5.8,0.0,12.0,761.0,0.066978944
43327.0,35.0,7.1,9.0,33.0,15791.0,0.467334513
62162.0,1233.0,7.1,0.0,33.0,20437.0,0.670492949
10569.0,406.0,6.9,0.0,15.0,3801.0,0.395147245
70975.0,804.0,9.6,15.0,20.0,27494.0,0.587277116
29094.0,389.0,10.5,10.0,48.0,13406.0,0.902223463
12968.0,356.0,7.0,0.0,10.0,5384.0,0.178750365
6054.0,1624.0,6.2,0.0,43.0,2501.0,0.110314929
3370.0,1527.0,6.2,0.0,43.0,1324.0,0.061407551
13758.0,905.0,7.4,4.0,23.0,4697.0,0.311390173
45591.0,502.0,8.3,12.0,17.0,19101.0,1.071312518
75448.0,162.0,7.9,0.0,22.0,27297.0,1.086895197
8257.0,964.0,7.1,0.0,24.0,3969.0,0.273709958
44153.0,10.0,7.6,6.0,0.0,18925.0,0.912350796
42855.0,914.0,7.4,8.0,23.0,12304.0,0.969953908
29650.0,44.0,7.0,0.0,10.0,10218.0,0.40869435
28616.0,398.0,7.0,0.0,10.0,11266.0,0.394441738
18807.0,122.0,7.0,0.0,13.0,6884.0,0.276029112
13593.0,135.0,7.0,0.0,3.0,5660.0,0.396898957
13772.0,803.0,6.8,0.0,27.0,5085.0,0.663876662
8326.0,144.0,7.0,0.0,3.0,3672.0,0.243109006
3952.0,637.0,6.2,0.0,36.0,1513.0,0.125282806
65346.0,726.0,8.3,58.0,17.0,26135.0,1.535522095
22895.0,154.0,7.0,7.0,25.0,8920.0,0.455922939
60913.0,245.0,6.2,30.0,36.0,22978.0,1.931010005
16481.0,44.0,7.0,0.0,3.0,5957.0,0.481225021
15571.0,39.0,8.3,6.0,17.0,7254.0,0.36589255
4434.0,306.0,10.2,0.0,32.0,1772.0,0.037664319
41641.0,1744.0,7.3,11.0,46.0,12067.0,0.469321887
8915.0,123.0,8.3,0.0,17.0,4028.0,0.209487642
1747.0,1034.0,9.8,0.0,26.0,535.0,0.092094078
89694.0,1819.0,7.9,0.0,49.0,22835.0,2.051975998
17753.0,839.0,7.9,0.0,22.0,6048.0,0.255747673
90180.0,23.0,6.9,0.0,15.0,22395.0,3.371594144
2935.0,240.0,9.2,0.0,41.0,925.0,0.189626347
22386.0,136.0,8.3,6.0,17.0,9858.0,0.526033692
28606.0,161.0,7.1,8.0,24.0,10746.0,0.948255668
1388.0,1560.0,6.2,0.0,43.0,491.0,0.025291893
20327.0,566.0,6.5,0.0,14.0,7191.0,0.400958296
24965.0,14.0,7.0,0.0,3.0,10058.0,0.728947434
20917.0,1276.0,10.5,6.0,34.0,7243.0,1.07326363
6955.0,1793.0,10.5,0.0,48.0,3233.0,0.215678978
21763.0,44.0,7.1,0.0,33.0,8011.0,0.234740485
15878.0,1826.0,7.9,0.0,49.0,6232.0,0.363249213
14309.0,1463.0,9.2,0.0,41.0,4867.0,0.924484973
13640.0,1830.0,10.6,0.0,50.0,4300.0,0.684671399
12410.0,54.0,6.5,0.0,14.0,4657.0,0.244792269
47192.0,349.0,6.2,8.0,36.0,17626.0,1.496039009
69907.0,1669.0,5.8,4.0,44.0,20901.0,1.194195701
82753.0,539.0,6.5,17.0,14.0,29197.0,1.632336393
4795.0,1571.0,6.2,0.0,43.0,2097.0,0.087373651
10919.0,825.0,7.3,7.0,46.0,4187.0,0.123064424
10308.0,1545.0,6.2,0.0,43.0,4018.0,0.187830573
79604.0,473.0,6.9,6.0,47.0,26645.0,0.971863786
5327.0,93.0,9.6,0.0,1.0,1835.0,0.151696821
7671.0,85.0,9.6,0.0,1.0,2504.0,0.218446839
22482.0,130.0,9.1,0.0,18.0,9242.0,0.762268835
71604.0,1326.0,6.2,0.0,36.0,26517.0,2.269926623
27610.0,1801.0,7.9,4.0,49.0,9725.0,0.631648241
5972.0,1050.0,9.8,0.0,26.0,1822.0,0.314817308
11059.0,1053.0,9.8,0.0,26.0,3739.0,0.582981347
37955.0,488.0,6.5,5.0,14.0,14498.0,0.748677725
2871.0,369.0,6.8,0.0,16.0,1131.0,0.137066225
47196.0,138.0,9.1,17.0,18.0,15998.0,1.60021528
69611.0,1144.0,7.7,8.0,31.0,21850.0,1.362037254
22601.0,366.0,7.0,16.0,10.0,9031.0,0.311531231
49208.0,1644.0,6.2,7.0,43.0,17165.0,0.89665957
11250.0,268.0,7.8,0.0,5.0,3241.0,0.175794706
13122.0,439.0,7.0,0.0,25.0,5701.0,0.261306871
5521.0,657.0,6.8,0.0,16.0,2212.0,0.26358155
15128.0,572.0,6.5,0.0,14.0,5673.0,0.298405918
46236.0,455.0,5.8,5.0,12.0,14268.0,1.186073715
70116.0,51.0,6.5,10.0,14.0,27659.0,1.383066458
7166.0,733.0,8.3,0.0,17.0,3139.0,0.168389057
13111.0,440.0,8.3,0.0,17.0,5373.0,0.308086649
61833.0,1167.0,10.2,0.0,32.0,23096.0,0.525236323
18432.0,261.0,7.8,506.0,5.0,6010.0,0.288022047
8263.0,438.0,6.5,0.0,14.0,2985.0,0.162991017
33888.0,498.0,6.8,10.0,16.0,11744.0,1.617868422
25473.0,989.0,7.0,0.0,25.0,9326.0,0.50726032
17158.0,122.0,6.9,0.0,15.0,6011.0,0.641492707
48271.0,33.0,6.5,10.0,14.0,18996.0,0.952164998
29764.0,40.0,7.0,0.0,10.0,8916.0,0.410265721
26804.0,1559.0,6.2,10.0,43.0,10293.0,0.4884178
54450.0,1620.0,6.2,0.0,43.0,21319.0,0.992178377
61893.0,509.0,8.3,12.0,35.0,22721.0,1.027186926
8303.0,80.0,9.6,0.0,1.0,2734.0,0.236444284
6254.0,1018.0,7.0,0.0,25.0,2637.0,0.124539946
62342.0,670.0,6.8,20.0,16.0,22330.0,2.976308816
6843.0,270.0,7.8,0.0,5.0,2355.0,0.10693006
8263.0,34.0,8.1,0.0,42.0,3174.0,0.140360945
21780.0,675.0,6.8,8.0,16.0,7010.0,1.039812743
4506.0,1148.0,7.7,0.0,31.0,1882.0,0.088166236
16683.0,223.0,7.8,6.0,5.0,4685.0,0.26069183
49045.0,547.0,8.1,3.0,42.0,20048.0,0.833111768
27611.0,552.0,6.5,0.0,14.0,10882.0,0.544638142
17912.0,527.0,10.2,0.0,32.0,6274.0,0.152152298
38109.0,349.0,7.0,0.0,10.0,11058.0,0.52529285
26794.0,369.0,6.5,0.0,14.0,8838.0,0.528522487
3821.0,1457.0,9.2,0.0,41.0,1355.0,0.246869598
9928.0,46.0,6.2,0.0,43.0,4457.0,0.18090628
28999.0,194.0,11.7,2.0,45.0,8919.0,0.648230318
5013.0,674.0,6.8,0.0,16.0,1781.0,0.239328801
2869.0,732.0,10.5,0.0,34.0,1154.0,0.147210085
38310.0,23.0,7.6,18.0,0.0,17157.0,0.79161459
660.0,130.0,6.8,0.0,27.0,228.0,0.031815175
42756.0,284.0,11.7,0.0,45.0,12086.0,0.955747973
11948.0,460.0,5.8,0.0,12.0,3743.0,0.306497291
16898.0,149.0,8.1,0.0,42.0,7621.0,0.287040935
5844.0,558.0,6.5,0.0,14.0,2157.0,0.115275264
7252.0,1721.0,7.3,0.0,46.0,2630.0,0.081734885
52775.0,857.0,5.8,6.0,44.0,14063.0,0.901536014
28223.0,115.0,7.0,0.0,3.0,10052.0,0.824077045
24949.0,35.0,6.2,6.0,36.0,8857.0,0.790911113
9947.0,1606.0,6.2,0.0,43.0,3211.0,0.181252494
25336.0,142.0,7.0,0.0,25.0,9403.0,0.50453215
33363.0,1015.0,6.8,5.0,27.0,10869.0,1.608257121
17162.0,364.0,7.0,0.0,10.0,6222.0,0.236560285
11277.0,902.0,7.4,0.0,23.0,3706.0,0.255236734
3319.0,1546.0,6.2,0.0,43.0,1278.0,0.060478238
6578.0,1558.0,6.2,0.0,43.0,2607.0,0.119863166
29206.0,1024.0,7.0,4.0,25.0,12121.0,0.581597962
53140.0,1494.0,8.1,6.0,42.0,21647.0,0.902672226
47240.0,695.0,8.3,50.0,17.0,20237.0,1.11006127
2313.0,1140.0,10.5,0.0,34.0,864.0,0.118681397
15769.0,494.0,7.0,0.0,13.0,5780.0,0.231440584
11758.0,35.0,8.1,0.0,42.0,5104.0,0.199729395
8591.0,1654.0,6.2,0.0,43.0,2690.0,0.1565437
9764.0,247.0,5.8,0.0,44.0,2868.0,0.166794839
45313.0,515.0,7.0,0.0,13.0,16090.0,0.665055945
20046.0,110.0,7.0,6.0,3.0,8485.0,0.585318657
21995.0,982.0,7.1,0.0,24.0,8994.0,0.729108698
18439.0,43.0,7.6,0.0,0.0,8870.0,0.381012306
1955.0,695.0,6.8,0.0,27.0,723.0,0.094240406
21774.0,519.0,8.3,4.0,17.0,8910.0,0.511652712
33277.0,1691.0,7.3,0.0,46.0,11640.0,0.37505402
44727.0,458.0,5.8,4.0,12.0,13896.0,1.147363939
14310.0,306.0,6.9,0.0,9.0,5598.0,0.145791944
19794.0,138.0,9.8,0.0,26.0,7159.0,1.043451739
4919.0,1456.0,9.2,0.0,41.0,1619.0,0.317809881
4146.0,656.0,6.8,0.0,16.0,1473.0,0.197936806
53054.0,1486.0,8.1,5.0,42.0,20851.0,0.901211372
25631.0,29.0,6.8,5.0,16.0,9398.0,1.223665767
12339.0,657.0,6.2,0.0,43.0,4953.0,0.2248391
62607.0,1132.0,7.6,19.0,30.0,22681.0,0.576276868
19000.0,37.0,7.0,0.0,10.0,6835.0,0.261895199
8191.0,272.0,7.8,0.0,5.0,2024.0,0.127994172
22330.0,161.0,9.1,0.0,18.0,8796.0,0.757115162
13632.0,1268.0,10.5,0.0,34.0,4054.0,0.699465975
38601.0,1157.0,10.6,4.0,50.0,9956.0,1.93761002
15113.0,873.0,7.9,0.0,22.0,5687.0,0.217716137
2690.0,439.0,5.8,0.0,44.0,763.0,0.045952286
4131.0,1245.0,7.1,0.0,33.0,1808.0,0.044557871
2252.0,396.0,6.2,0.0,43.0,1042.0,0.04103555
33839.0,1789.0,10.5,0.0,48.0,14619.0,1.049368934
20299.0,1838.0,10.6,6.0,50.0,6101.0,1.018925566
35873.0,920.0,7.4,6.0,23.0,11253.0,0.811927582
89147.0,1815.0,7.9,46.0,49.0,24296.0,2.039461996
44753.0,529.0,7.0,8.0,13.0,18255.0,0.656836862
3532.0,1093.0,6.8,0.0,27.0,1287.0,0.170259394
13706.0,371.0,7.0,0.0,10.0,6111.0,0.188922926
64689.0,1135.0,7.7,24.0,31.0,22691.0,1.265731392
11736.0,29.0,6.9,0.0,9.0,4715.0,0.119567733
9414.0,938.0,7.4,0.0,23.0,3156.0,0.213070729
12437.0,581.0,6.9,3.0,15.0,5093.0,0.464986875
11041.0,483.0,5.8,0.0,12.0,3510.0,0.283230381
31304.0,509.0,8.3,4.0,17.0,13421.0,0.735591829
2113.0,861.0,7.9,0.0,22.0,904.0,0.030439635
11964.0,589.0,6.9,0.0,15.0,3877.0,0.447302643
26758.0,741.0,7.1,0.0,24.0,11601.0,0.886996615
55700.0,15.0,8.1,14.0,42.0,20626.0,0.94615813
30233.0,677.0,10.6,11.0,50.0,7990.0,1.517571144
49455.0,50.0,10.2,8.0,32.0,17543.0,0.420092222
1748.0,633.0,6.8,0.0,16.0,597.0,0.083452373
18322.0,1547.0,6.2,0.0,43.0,7102.0,0.33386028
9611.0,395.0,7.0,0.0,13.0,3453.0,0.14106002
1234.0,1601.0,6.2,0.0,43.0,504.0,0.022485732
45894.0,302.0,6.9,0.0,9.0,19165.0,0.467573409
32384.0,35.0,8.3,4.0,35.0,14644.0,0.537450462
49421.0,29.0,11.7,0.0,45.0,15433.0,1.10473432
66826.0,1238.0,7.1,18.0,33.0,25970.0,0.720799875
57511.0,846.0,10.2,10.0,32.0,20797.0,0.48852338
28203.0,50.0,8.3,4.0,17.0,11612.0,0.662723497
10627.0,65.0,7.6,0.0,0.0,4769.0,0.219589879
50224.0,688.0,6.2,4.0,43.0,16633.0,0.915172944
35392.0,44.0,6.8,24.0,27.0,10881.0,1.706064684
34475.0,391.0,7.0,0.0,10.0,11022.0,0.475201947
17171.0,589.0,7.1,0.0,24.0,7032.0,0.569198702
17556.0,360.0,6.9,0.0,15.0,6267.0,0.656372885
58057.0,624.0,6.2,10.0,43.0,24078.0,1.057904501
13376.0,1831.0,10.6,0.0,50.0,4467.0,0.671419694
30774.0,731.0,8.3,6.0,17.0,13101.0,0.723137712
5080.0,245.0,5.8,0.0,44.0,1601.0,0.086779781
749.0,1596.0,6.2,0.0,43.0,288.0,0.013648147
28108.0,1756.0,7.3,48.0,46.0,9284.0,0.316795937
38701.0,29.0,7.0,0.0,13.0,15821.0,0.568012052
10880.0,559.0,8.3,0.0,17.0,4381.0,0.255661867
31480.0,501.0,8.3,0.0,35.0,11842.0,0.522447521
15196.0,467.0,5.8,0.0,12.0,4598.0,0.389816943
37639.0,491.0,7.0,4.0,13.0,12925.0,0.552425148
38346.0,50.0,6.5,5.0,14.0,13979.0,0.756390359
32957.0,39.0,7.6,6.0,0.0,11977.0,0.681003447
65256.0,46.0,8.3,15.0,35.0,28434.0,1.082999856
35286.0,378.0,6.2,2.0,43.0,13661.0,0.642975321
66470.0,734.0,8.3,8.0,17.0,23714.0,1.561934222
1987.0,681.0,6.8,0.0,16.0,709.0,0.094862623
15420.0,1714.0,7.3,0.0,46.0,6337.0,0.173793701
15650.0,1577.0,6.2,0.0,43.0,6085.0,0.285171563
10137.0,133.0,7.0,0.0,25.0,3700.0,0.201864636
27271.0,50.0,7.1,0.0,33.0,10829.0,0.29415098
27086.0,33.0,8.3,5.0,35.0,9331.0,0.449523938
15449.0,271.0,5.8,1.0,44.0,5195.0,0.263909614
8446.0,587.0,6.8,0.0,27.0,2666.0,0.407137837
25675.0,801.0,9.6,0.0,20.0,10320.0,0.21244579
34178.0,973.0,7.1,0.0,24.0,15243.0,1.132960995
6272.0,423.0,7.0,0.0,10.0,2888.0,0.086452984
10717.0,570.0,6.5,0.0,14.0,4220.0,0.211397159
56351.0,705.0,8.1,8.0,42.0,25250.0,0.957216459
8746.0,1640.0,10.5,0.0,48.0,3796.0,0.271219028
2849.0,497.0,6.8,0.0,16.0,1099.0,0.136015909
26907.0,771.0,11.7,5.0,45.0,9014.0,0.601466712
75498.0,569.0,10.2,10.0,32.0,29469.0,0.64131276
17276.0,1382.0,8.1,0.0,42.0,6761.0,0.2934619
26887.0,430.0,7.0,8.0,10.0,9774.0,0.370609275
63406.0,122.0,7.0,8.0,3.0,24938.0,1.851377568
2973.0,486.0,6.8,0.0,27.0,1123.0,0.143312904
49728.0,37.0,6.2,20.0,43.0,19135.0,0.906134919
36778.0,601.0,7.3,0.0,46.0,13954.0,0.414512629
16622.0,1400.0,8.7,4.0,38.0,6513.0,0.2582777
10836.0,354.0,7.0,6.0,10.0,4435.0,0.149362967
4195.0,1094.0,6.8,0.0,27.0,1571.0,0.202219184
22996.0,683.0,6.8,0.0,16.0,8580.0,1.097866567
14643.0,743.0,8.3,0.0,17.0,6277.0,0.344086096
43497.0,1725.0,7.3,0.0,46.0,15597.0,0.490240247
34074.0,578.0,6.5,0.0,14.0,10591.0,0.672123431
5112.0,47.0,9.2,0.0,41.0,1607.0,0.330279347
45754.0,1415.0,7.0,6.0,40.0,19053.0,0.620957344
1200.0,1552.0,6.2,0.0,43.0,489.0,0.02186619
15876.0,426.0,7.0,0.0,10.0,7452.0,0.218834115
11924.0,843.0,7.4,0.0,23.0,3969.0,0.269880537
1366.0,441.0,9.2,0.0,37.0,582.0,0.01988349
15029.0,396.0,7.0,4.0,10.0,5622.0,0.207159103
61157.0,838.0,7.9,0.0,22.0,19956.0,0.881020697
10456.0,13.0,6.2,0.0,43.0,4071.0,0.190527403
20470.0,491.0,7.0,5.0,25.0,7182.0,0.407632346
60922.0,1775.0,6.9,28.0,47.0,19011.0,0.743780282
730.0,1066.0,6.8,0.0,27.0,267.0,0.035189512
13143.0,43.0,7.0,0.0,10.0,5839.0,0.181162558
